crops,Country,Alpha-2 code,Alpha-3 code,Year,Area (1000 ha),Standard humidity (%),Main area (1000 ha),Production (1000 t),Yield (tonne/ha
C1100,Ireland,IE,IRL,2006,87.51,14.0,,766.8,8.81
C1100,France,FR,FRA,2006,5245.8,14.0,,34952.4,
C1100,Albania,AL,ALB,2006,77.2,14.0,,228.22,
C1100,Bosnia and Herzegovina,BA,BIH,2006,73.51,14.0,,235.2,
C1100,Belgium,BE,BEL,2006,210.0,14.0,,1725.5,
C1100,Finland,FI,FIN,2006,192.4,14.0,,692.85,3.61
C1100,Cyprus,CY,CYP,2006,5.39,14.0,,7.87,1.46
C1100,Luxembourg,LU,LUX,2006,12.7,14.0,,74.72,
C1100,Poland,PL,POL,2006,2175.7,14.0,,6977.61,
C1100,Slovakia,SK,SVK,2006,350.9,14.0,,1334.89,
C1100,Italy,IT,ITA,2006,1925.7,14.0,,7098.19,
C1100,Greece,EL,GRC,2006,685.17,14.0,,1644.49,2.4
C1100,Netherlands,NL,NLD,2006,140.0,14.0,,1156.95,
C1100,Hungary,HU,HUN,2006,1074.7,14.0,,4350.76,
C1100,Estonia,EE,EST,2006,90.9,14.0,,219.6,2.42
C1100,Switzerland,CH,CHE,2006,91.1,14.0,,540.64,
C1100,Spain,ES,ESP,2006,1920.2,14.0,,5650.01,
C1100,United Kingdom,UK,GBR,2006,1836.1,14.0,,14649.33,
C1100,Denmark,DK,DNK,2006,686.3,14.0,,4745.77,
C1100,North Macedonia,MK,MKD,2006,97.46,14.0,,296.74,3.04
C1100,Lithuania,LT,LTU,2006,343.8,14.0,,809.8,
C1100,Bulgaria,BG,BGR,2006,970.4,14.0,,3378.69,
C1100,Romania,RO,ROU,2006,2012.57,14.0,,5526.19,2.75
C1100,Norway,NO,NOR,2006,85.7,14.0,,352.85,
C1100,Germany,DE,DEU,2006,3114.6,14.0,,22427.9,
C1100,Sweden,SE,SWE,2006,360.2,14.0,,1967.4,
C1100,Latvia,LV,LVA,2006,215.1,14.0,,598.3,2.78
C1100,Sweden,SE,SWE,2007,360.5,14.0,,2255.7,
C1100,Albania,AL,ALB,2007,70.2,14.0,,246.6,
C1100,Austria,AT,AUT,2007,293.0,14.0,,1391.16,
C1100,Poland,PL,POL,2007,2112.0,14.0,,8220.59,
C1100,Norway,NO,NOR,2007,91.2,14.0,,396.44,
C1100,Cyprus,CY,CYP,2007,5.29,14.0,,11.21,2.12
C1100,Switzerland,CH,CHE,2007,90.7,14.0,,548.04,
C1100,Germany,DE,DEU,2007,2992.1,14.0,,20828.1,
C1100,Kosovo,XK,XXK,2007,61.2,14.0,,207.2,3.38
C1100,Bulgaria,BG,BGR,2007,1088.0,14.0,,2454.53,
C1100,Greece,EL,GRC,2007,678.05,14.0,,1451.08,2.14
C1100,Italy,IT,ITA,2007,2100.4,14.0,,7086.83,
C1100,Netherlands,NL,NLD,2007,141.3,14.0,,994.72,
C1100,Hungary,HU,HUN,2007,1111.3,14.0,,3963.52,
C1100,Turkey,TR,TUR,2007,8098.0,14.0,,17234.0,
C1100,Luxembourg,LU,LUX,2007,12.6,14.0,,69.68,
C1100,Serbia,RS,SRB,2007,626.0,14.0,,2342.24,3.74
C1100,United Kingdom,UK,GBR,2007,1830.5,14.0,,13060.62,
C1100,Denmark,DK,DNK,2007,688.8,14.0,,4466.65,
C1100,Belgium,BE,BEL,2007,210.0,14.0,,1628.08,
C1100,Ireland,IE,IRL,2007,84.25,14.0,,647.05,7.71
C1100,Portugal,PT,PRT,2007,54.89,14.0,,105.83,1.93
C1100,Czechia,CZ,CZE,2007,811.0,14.0,,3938.9,
C1100,Romania,RO,ROU,2007,1975.02,14.0,,3044.47,1.54
C1100,Lithuania,LT,LTU,2007,354.6,14.0,,1390.7,
C1100,Montenegro,ME,MNE,2007,0.31,14.0,,0.76,2.43
C1100,Spain,ES,ESP,2007,1803.3,14.0,,6585.98,
C1100,Bosnia and Herzegovina,BA,BIH,2007,74.52,14.0,,260.1,
C1100,Latvia,LV,LVA,2007,224.6,14.0,,807.3,3.6
C1100,Slovakia,SK,SVK,2007,360.7,14.0,,1371.68,
C1100,North Macedonia,MK,MKD,2007,90.8,14.0,,220.61,2.43
C1100,France,FR,FRA,2007,5238.8,14.0,,32388.85,
C1100,Croatia,HR,HRV,2007,175.05,14.0,,821.79,4.65
C1100,Estonia,EE,EST,2007,99.5,14.0,,345.7,3.48
C1100,Finland,FI,FIN,2007,203.9,14.0,,806.99,3.98
C1100,Slovenia,SI,SVN,2007,32.04,14.0,,133.34,
C1100,Spain,ES,ESP,2008,2057.9,14.0,,6990.27,
C1100,Norway,NO,NOR,2008,93.4,14.0,,454.65,
C1100,Finland,FI,FIN,2008,219.6,14.0,,797.57,3.69
C1100,Turkey,TR,TUR,2008,8094.0,14.0,,17789.0,
C1100,France,FR,FRA,2008,5492.5,14.0,,38548.19,
C1100,Croatia,HR,HRV,2008,156.54,14.0,,868.31,5.56
C1100,United Kingdom,UK,GBR,2008,2080.2,14.0,,17126.84,
C1100,Albania,AL,ALB,2008,83.4,14.0,,331.1,
C1100,Greece,EL,GRC,2008,657.37,14.0,,2025.05,3.08
C1100,Italy,IT,ITA,2008,2289.0,14.0,,8756.38,
C1100,Romania,RO,ROU,2008,2110.27,14.0,,7180.98,3.4
C1100,Netherlands,NL,NLD,2008,156.5,14.0,,1334.43,
C1100,Germany,DE,DEU,2008,3213.5,14.0,,25988.5,
C1100,Bulgaria,BG,BGR,2008,1111.5,14.0,,4772.24,
C1100,Slovakia,SK,SVK,2008,373.6,14.0,,1808.92,
C1100,North Macedonia,MK,MKD,2008,85.45,14.0,,295.11,3.45
C1100,Czechia,CZ,CZE,2008,802.3,14.0,,4631.5,
C1100,Serbia,RS,SRB,2008,612.26,14.0,,2632.09,4.3
C1100,Sweden,SE,SWE,2008,360.5,14.0,,2202.2,
C1100,Kosovo,XK,XXK,2008,72.1,14.0,,293.1,4.06
C1100,Latvia,LV,LVA,2008,256.6,14.0,,989.6,3.86
C1100,Portugal,PT,PRT,2008,88.28,14.0,,210.38,2.38
C1100,Switzerland,CH,CHE,2008,88.8,14.0,,552.81,
C1100,Lithuania,LT,LTU,2008,403.5,14.0,,1722.5,
C1100,Belgium,BE,BEL,2008,224.0,14.0,,1917.17,
C1100,Slovenia,SI,SVN,2008,35.41,14.0,,160.3,
C1100,Hungary,HU,HUN,2008,1130.3,14.0,,5598.06,
C1100,Ireland,IE,IRL,2008,110.67,14.0,,899.17,8.15
C1100,Estonia,EE,EST,2008,107.6,14.0,,342.5,3.18
C1100,Cyprus,CY,CYP,2008,4.99,14.0,,2.59,0.52
C1100,Montenegro,ME,MNE,2008,0.31,14.0,,1.11,3.54
C1100,Bosnia and Herzegovina,BA,BIH,2008,64.83,14.0,,243.33,
C1100,Austria,AT,AUT,2008,296.8,14.0,,1679.88,
C1100,Poland,PL,POL,2008,2278.0,14.0,,9167.05,
C1100,Luxembourg,LU,LUX,2008,14.6,14.0,,96.07,
C1100,Denmark,DK,DNK,2008,638.2,14.0,,4960.34,
C1100,Switzerland,CH,CHE,2009,91.3,14.0,,557.37,
C1100,Montenegro,ME,MNE,2009,0.32,14.0,,1.17,3.64
C1100,Greece,EL,GRC,2009,781.99,14.0,,2235.06,2.86
C1100,United Kingdom,UK,GBR,2009,1775.0,14.0,,13994.16,
C1100,Bulgaria,BG,BGR,2009,1247.7,14.0,,4092.4,
C1100,Albania,AL,ALB,2009,82.8,14.0,,329.23,
C1100,Sweden,SE,SWE,2009,374.0,14.0,,2277.9,
C1100,Latvia,LV,LVA,2009,285.7,14.0,,1036.4,3.63
C1100,Belgium,BE,BEL,2009,211.5,14.0,,1975.8,
C1100,Slovenia,SI,SVN,2009,34.53,14.0,,136.9,
C1100,Bosnia and Herzegovina,BA,BIH,2009,68.1,14.0,,258.82,
C1100,France,FR,FRA,2009,5146.6,14.0,,37878.97,
C1100,Luxembourg,LU,LUX,2009,13.8,14.0,,89.84,
C1100,Lithuania,LT,LTU,2009,500.0,14.0,,2100.2,
C1100,Serbia,RS,SRB,2009,636.43,14.0,,2598.18,4.08
C1100,Cyprus,CY,CYP,2009,5.76,14.0,,15.34,2.66
C1100,Netherlands,NL,NLD,2009,150.9,14.0,,1369.4,
C1100,Denmark,DK,DNK,2009,739.0,14.0,,5871.33,
C1100,Slovakia,SK,SVK,2009,380.4,14.0,,1528.96,
C1100,Portugal,PT,PRT,2009,72.99,14.0,,128.48,1.76
C1100,Spain,ES,ESP,2009,1772.5,14.0,,4883.69,
C1100,Finland,FI,FIN,2009,218.3,14.0,,899.38,4.16
C1100,Turkey,TR,TUR,2009,,14.0,,20520.0,
C1100,Poland,PL,POL,2009,2346.2,14.0,,9676.06,
C1100,Ireland,IE,IRL,2009,84.47,14.0,,646.39,7.68
C1100,North Macedonia,MK,MKD,2009,88.15,14.0,,274.27,3.11
C1100,Romania,RO,ROU,2009,2148.83,14.0,,5202.53,2.42
C1100,Hungary,HU,HUN,2009,1146.5,14.0,,4393.41,
C1100,Czechia,CZ,CZE,2009,831.3,14.0,,4358.1,
C1100,Austria,AT,AUT,2009,309.1,14.0,,1523.4,
C1100,Croatia,HR,HRV,2009,180.38,14.0,,946.96,5.26
C1100,Kosovo,XK,XXK,2009,77.9,14.0,,271.4,3.48
C1100,Italy,IT,ITA,2009,1795.5,14.0,,6267.27,
C1100,Germany,DE,DEU,2009,3226.0,14.0,,25190.3,
C1100,Estonia,EE,EST,2009,113.6,14.0,,342.5,3.01
C1100,Hungary,HU,HUN,2010,1010.73,14.0,,3723.41,
C1100,Luxembourg,LU,LUX,2010,14.01,14.0,,82.5,
C1100,Malta,MT,MLT,2010,,14.0,,0.0,
C1100,Montenegro,ME,MNE,2010,0.28,14.0,,0.96,3.44
C1100,Turkey,TR,TUR,2010,9432.0,14.0,,19682.0,
C1100,North Macedonia,MK,MKD,2010,79.87,14.0,,245.96,3.08
C1100,Lithuania,LT,LTU,2010,517.6,14.0,,1710.4,
C1100,Croatia,HR,HRV,2010,168.51,14.0,,688.94,3.84
C1100,Italy,IT,ITA,2010,1829.52,14.0,,6698.46,
C1100,Ireland,IE,IRL,2010,77.82,14.0,,640.43,8.23
C1100,Latvia,LV,LVA,2010,,14.0,,989.4,3.28
C1100,Austria,AT,AUT,2010,302.85,14.0,,1517.81,5.01
C1100,Romania,RO,ROU,2010,2162.39,14.0,,5811.81,2.69
C1100,Kosovo,XK,XXK,2010,78.4,14.0,,294.5,3.76
C1100,Estonia,EE,EST,2010,119.4,14.0,,327.6,2.74
C1100,Spain,ES,ESP,2010,1948.07,14.0,,6079.36,
C1100,Bulgaria,BG,BGR,2010,1131.56,14.0,,4194.57,
C1100,Slovakia,SK,SVK,2010,342.12,14.0,,1178.4,
C1100,Belgium,BE,BEL,2010,213.0,14.0,,1886.11,
C1100,Norway,NO,NOR,2010,72.0,14.0,,327.15,
C1100,Slovenia,SI,SVN,2010,31.95,14.0,,153.48,
C1100,Denmark,DK,DNK,2010,763.6,14.0,,5001.06,
C1100,Serbia,RS,SRB,2010,619.4,14.0,,2085.53,3.37
C1100,United Kingdom,UK,GBR,2010,1939.0,14.0,,14791.5,
C1100,Cyprus,CY,CYP,2010,7.83,14.0,,19.44,2.48
C1100,Sweden,SE,SWE,2010,397.13,14.0,,2143.0,5.4
C1100,Switzerland,CH,CHE,2010,91.13,14.0,,531.19,
C1100,Portugal,PT,PRT,2010,57.73,14.0,,85.46,1.48
C1100,Bosnia and Herzegovina,BA,BIH,2010,110.45,14.0,,293.79,
C1100,Greece,EL,GRC,2010,661.05,14.0,,2114.76,3.2
C1100,Czechia,CZ,CZE,2010,833.58,14.0,,4161.55,4.99
C1100,Netherlands,NL,NLD,2010,153.7,14.0,,1338.14,
C1100,Albania,AL,ALB,2010,73.9,14.0,,291.47,
C1100,France,FR,FRA,2010,5405.36,14.0,,37593.23,
C1100,Poland,PL,POL,2010,2141.5,14.0,,9298.7,
C1100,Germany,DE,DEU,2010,3297.7,14.0,,23782.96,7.21
C1100,Finland,FI,FIN,2010,211.2,14.0,,735.35,3.48
C1100,Italy,IT,ITA,2011,1726.03,14.0,,6545.0,
C1100,Serbia,RS,SRB,2011,619.61,14.0,,2609.19,4.21
C1100,Kosovo,XK,XXK,2011,79.9,14.0,,300.2,3.76
C1100,Turkey,TR,TUR,2011,8100.0,14.0,,21807.0,
C1100,Netherlands,NL,NLD,2011,151.0,14.0,,1147.67,
C1100,Denmark,DK,DNK,2011,747.0,14.0,,4775.22,
C1100,Estonia,EE,EST,2011,128.4,14.0,,360.2,2.8
C1100,Slovakia,SK,SVK,2011,362.8,14.0,,1621.62,
C1100,Poland,PL,POL,2011,2258.7,14.0,,9230.6,
C1100,Ireland,IE,IRL,2011,94.16,14.0,,872.06,9.29
C1100,Romania,RO,ROU,2011,1947.01,14.0,,7131.59,3.66
C1100,North Macedonia,MK,MKD,2011,76.55,14.0,,259.08,3.38
C1100,Portugal,PT,PRT,2011,42.5,14.0,,52.78,1.24
C1100,Montenegro,ME,MNE,2011,0.5,14.0,,1.63,3.24
C1100,Czechia,CZ,CZE,2011,863.13,14.0,,4913.05,5.69
C1100,Germany,DE,DEU,2011,3248.2,14.0,,22782.7,7.01
C1100,Cyprus,CY,CYP,2011,10.59,14.0,,24.46,2.31
C1100,Malta,MT,MLT,2011,,14.0,,0.0,
